time_s,event_type,lane,detail,queue_after,signal_phase
0.0,phase_change,,phase=NS_GREEN;duration_s=27.00;control_mode=adaptive;queue_pressure=0;arrival_rate_per_min=31.00,,NS_GREEN
0.443,vehicle_arrival,west,vehicle joined queue,1,NS_GREEN
0.721,vehicle_arrival,north,vehicle joined queue,1,NS_GREEN
0.724,vehicle_arrival,west,vehicle joined queue,2,NS_GREEN
0.921,vehicle_arrival,north,vehicle joined queue,2,NS_GREEN
1.422,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
2.55,vehicle_arrival,south,vehicle joined queue,1,NS_GREEN
2.83,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
4.652,vehicle_arrival,east,vehicle joined queue,1,NS_GREEN
4.783,vehicle_arrival,west,vehicle joined queue,3,NS_GREEN
4.887,vehicle_departure,south,vehicle cleared intersection,0,NS_GREEN
4.967,vehicle_departure,north,vehicle cleared intersection,1,NS_GREEN
5.149,vehicle_arrival,north,vehicle joined queue,2,NS_GREEN
5.42,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
6.445,vehicle_arrival,south,vehicle joined queue,1,NS_GREEN
6.753,vehicle_arrival,north,vehicle joined queue,4,NS_GREEN
7.077,vehicle_departure,north,vehicle cleared intersection,3,NS_GREEN
7.31,vehicle_arrival,south,vehicle joined queue,2,NS_GREEN
8.782,vehicle_departure,south,vehicle cleared intersection,1,NS_GREEN
9.086,vehicle_arrival,south,vehicle joined queue,2,NS_GREEN
9.241,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
9.346,vehicle_arrival,south,vehicle joined queue,3,NS_GREEN
10.384,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
11.12,vehicle_departure,south,vehicle cleared intersection,2,NS_GREEN
11.378,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
11.683,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
13.485,vehicle_departure,south,vehicle cleared intersection,1,NS_GREEN
13.515,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
13.739,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
14.162,vehicle_arrival,south,vehicle joined queue,2,NS_GREEN
15.297,vehicle_arrival,south,vehicle joined queue,3,NS_GREEN
15.652,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
15.822,vehicle_departure,south,vehicle cleared intersection,2,NS_GREEN
17.138,vehicle_arrival,east,vehicle joined queue,2,NS_GREEN
17.789,vehicle_departure,north,vehicle cleared intersection,1,NS_GREEN
18.187,vehicle_departure,south,vehicle cleared intersection,1,NS_GREEN
18.294,vehicle_arrival,south,vehicle joined queue,2,NS_GREEN
18.518,vehicle_arrival,west,vehicle joined queue,4,NS_GREEN
19.039,vehicle_arrival,north,vehicle joined queue,2,NS_GREEN
19.573,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
19.702,vehicle_arrival,north,vehicle joined queue,4,NS_GREEN
19.899,vehicle_departure,north,vehicle cleared intersection,3,NS_GREEN
20.525,vehicle_departure,south,vehicle cleared intersection,1,NS_GREEN
21.913,vehicle_arrival,west,vehicle joined queue,5,NS_GREEN
22.063,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
22.862,vehicle_departure,south,vehicle cleared intersection,0,NS_GREEN
23.898,vehicle_arrival,east,vehicle joined queue,3,NS_GREEN
24.2,vehicle_departure,north,vehicle cleared intersection,1,NS_GREEN
24.369,vehicle_arrival,north,vehicle joined queue,2,NS_GREEN
26.31,vehicle_departure,north,vehicle cleared intersection,1,NS_GREEN
26.343,vehicle_arrival,south,vehicle joined queue,1,NS_GREEN
26.512,vehicle_arrival,north,vehicle joined queue,2,NS_GREEN
